File Name,Folder,Start(CET),Duration[s],Peak[Mb/s],Protocol,Src Port(s),Dst Port(s),Src IPs,IPs Fragmented,Flags
DEST-SSDP-S-02,TrafficAnalysis_DEST-SSDP-S-02_2014-12-29_11_04_10.txt/,1419851051,298,0.012416,UDP,53:DNS+SOME,MANY,4,0,
DEST-SSYN-S-01,TrafficAnalysis_DEST-SSYN-S-01_2014-12-25_12_57_55.txt/,1419512276,297,0.008536,UDP,53:DNS+,MANY,1,0,
DEST-SSYN-S-02,TrafficAnalysis_DEST-SSYN-S-02_2014-12-29_15_20_57.txt/,1419866458,298,0.74044,UDP,1900:SSDP+MANY,80:HTTP+MANY,64,0,
DEST-SUDP-S-01,TrafficAnalysis_DEST-SUDP-S-01_2014-12-29_09_39_49.txt/,1419845990,297,0.012416,UDP,53:DNS+SOME,MANY,2,0,
DEST-SUDP-S-02,TrafficAnalysis_DEST-SUDP-S-02_2014-12-29_11_22_32.txt/,1419852153,297,0.008336,UDP,53:DNS+,MANY,2,0,
DEST-UDP-S-01,TrafficAnalysis_DEST-UDP-S-01_2014-12-29_09_53_22.txt/,1419846803,297,0.007568,UDP,53:DNS+,MANY,1,0,
DEST-UDP-S-02,TrafficAnalysis_DEST-UDP-S-02_2014-12-29_11_36_55.txt/,1419853016,297,0.032688,UDP,53:DNS+,MANY,1,0,
DEST-XSYN-S-01,TrafficAnalysis_DEST-XSYN-S-01_2014-12-25_13_12_47.txt/,1419513168,297,0.00792,UDP,53:DNS+SOME,MANY,2,0,
DEST-XSYN-S-02,TrafficAnalysis_DEST-XSYN-S-02_2014-12-29_15_37_08.txt/,1419867429,298,6.4E-4,UDP,53:DNS+1900:SSDP+MANY,80:HTTP+MANY,22,0,
HORNY-CHARGEN-S-01,TrafficAnalysis_HORNY-CHARGEN-S-01_2015-04-07_17_44_59.txt/,1428428700,298,700.06116,UDP,19:CharGen+MANY,8080:unknown+MANY,1208,0,
HORNY-CHARGEN-S-02,TrafficAnalysis_HORNY-CHARGEN-S-02_2015-04-07_20_42_47.txt/,1428439368,298,1000.25073,UDP,19:CharGen+MANY,8080:unknown+MANY,1224,0,
HORNY-DNS-S-01,TrafficAnalysis_HORNY-DNS-S-01_2015-04-07_17_32_59.txt/,1428427980,298,0.008808,UDP,53:DNS+,MANY,1,0,
HORNY-DNS-S-02,TrafficAnalysis_HORNY-DNS-S-02_2015-04-07_20_31_25.txt/,1428438686,298,709.95953,UDP,53:DNS+MANY,MANY,116072,0,
HORNY-ESSYN-S-01,TrafficAnalysis_HORNY-ESSYN-S-01_2015-04-07_18_16_10.txt/,1428430573,231,24.623568,TCP,MANY,80:HTTP+SOME,582269,0,CWR(2)ECE(2)ACK(1721)RST(16847)SYN(582290)FIN(2)
HORNY-ESSYN-S-02,TrafficAnalysis_HORNY-ESSYN-S-02_2015-04-07_21_06_06.txt/,1428440768,284,33.056335,TCP,MANY,80:HTTP+SOME,588069,0,CWR(2)ACK(1719)RST(16780)SYN(588082)FIN(2)
HORNY-GET-S-01,TrafficAnalysis_HORNY-GET-S-01_2015-04-07_18_39_33.txt/,1428431993,279,4.602816,TCP,MANY,80:HTTP+MANY,729,0,CWR(3)ECE(3)ACK(219)PSH(211)RST(423)SYN(735)FIN(195)
HORNY-GET-S-02,TrafficAnalysis_HORNY-GET-S-02_2015-04-07_20_02_52.txt/,1428436987,285,3.98288,TCP,MANY,80:HTTP+MANY,651,0,CWR(2)ECE(2)ACK(170)PSH(166)RST(361)SYN(661)FIN(152)
HORNY-MSSQL-S-01,TrafficAnalysis_HORNY-MSSQL-S-01_2015-04-07_17_56_12.txt/,1428429373,297,253.33661,UDP,1434:unknown+MANY,1434:unknown+MANY,1102,0,
HORNY-MSSQL-S-02,TrafficAnalysis_HORNY-MSSQL-S-02_2015-04-07_20_54_26.txt/,1428440067,298,281.51727,UDP,1434:unknown+MANY,1434:unknown+MANY,1107,0,
HORNY-NTP-S-01,TrafficAnalysis_HORNY-NTP-S-01_2015-04-07_17_21_38.txt/,1428427299,298,464.71323,UDP,123:NTP+MANY,80:HTTP+MANY,4189,0,
HORNY-NTP-S-02,TrafficAnalysis_HORNY-NTP-S-02_2015-04-07_20_20_04.txt/,1428438005,298,0.18612,UDP,53:DNS+SOME,MANY,3,0,
HORNY-SSDP-S-01,TrafficAnalysis_HORNY-SSDP-S-01_2015-04-07_17_09_52.txt/,1428426592,299,126.841415,UDP,1900:SSDP+MANY,80:HTTP+MANY,41011,0,
HORNY-SSDP-S-02,TrafficAnalysis_HORNY-SSDP-S-02_2015-04-07_20_08_38.txt/,1428437319,299,195.76079,UDP,1900:SSDP+MANY,80:HTTP+MANY,71303,0,
HORNY-SYNACK-S-01,TrafficAnalysis_HORNY-SYNACK-S-01_2015-04-07_18_27_15.txt/,1428431237,281,30.683376,TCP,MANY,80:HTTP+SOME,597012,0,CWR(2)ACK(1811)RST(17414)SYN(597016)FIN(2)
HORNY-SYNACK-S-02,TrafficAnalysis_HORNY-SYNACK-S-02_2015-04-07_21_17_56.txt/,1428441478,279,47.188503,TCP,MANY,80:HTTP+SOME,1653958,0,CWR(7)ECE(5)ACK(4022)PSH(1)RST(38182)SYN(1653943)FIN(25)
HORNY-TCPFIN-S-01,TrafficAnalysis_HORNY-TCPFIN-S-01_2015-04-07_18_45_52.txt/,1428432353,298,6.4E-4,UDP,123:NTP+SOME,80:HTTP+MANY,3,0,
HORNY-TCPFIN-S-02,TrafficAnalysis_HORNY-TCPFIN-S-02_2015-04-07_21_29_07.txt/,1428442149,259,33.75541,TCP,MANY,80:HTTP+SOME,2899784,0,ACK(5)RST(13)SYN(5)
HORNY-TCPFUCK-S-01,TrafficAnalysis_HORNY-TCPFUCK-S-01_2015-04-07_17_27_30.txt/,1428427651,298,17.387247,UDP,123:NTP+SOME,80:HTTP+MANY,13,0,
HORNY-TCPFUCK-S-02,TrafficAnalysis_HORNY-TCPFUCK-S-02_2015-04-07_20_25_48.txt/,1428438349,298,0.008336,UDP,53:DNS+,MANY,1,0,
