timestamp,mbits_per_bin,pkts_per_bin
1447170849,2.2254,197
1447170850,10.788,899
1447170851,6.24,520
1447170852,6.648,554
1447170853,4.02,335
1447170854,8.04,670
1447170855,9.216,768
1447170856,6.66,555
1447170857,7.248,604
1447170858,10.26,855
1447170859,12.816,1068
1447170860,12.156,1013
1447170861,0.012,1
1447170862,6.54,545
1447170863,10.08,840
1447170864,6.912,576
