Start,Folder,File_name,Duration[s],Peak[Mb/s],Protocol,Src_Ports,Dst_Ports,Src_IPs,IPs_Fragmented,Flags
1428441478,TrafficAnalysis_HORNY-SYNACK-S-02_2015-04-07_21_17_56.txt/,HORNY-SYNACK-S-02,279,47.188503,TCP,MANY,MANY,1653958,1,CWR(7)ECE(5)ACK(4022)PSH(1)RST(38182)SYN(1653943)FIN(25)
1428441816,TrafficAnalysis_HORNY-TCPRST-S-02_2015-04-07_21_23_35.txt/,HORNY-TCPRST-S-02,298,0.011344,UDP,53:DNS+MANY,MANY,10,1,
1428442149,TrafficAnalysis_HORNY-TCPFIN-S-02_2015-04-07_21_29_07.txt/,HORNY-TCPFIN-S-02,259,33.75541,TCP,MANY,MANY,2899784,1,ACK(5)RST(13)SYN(5)
1428442499,TrafficAnalysis_HORNY-TCPPSH-S-02_2015-04-07_21_34_57.txt/,HORNY-TCPPSH-S-02,268,42.369488,TCP,MANY,MANY,3857887,1,PSH(3857918)RST(1)SYN(3)
1428442920,TrafficAnalysis_BOOTIO-ESSYN-S-02_2015-04-07_21_41_59.txt/,BOOTIO-ESSYN-S-02,298,0.011344,UDP,53:DNS+SOME,MANY,4,1,
1428521933,TrafficAnalysis_DEST-GET-S-02_2015-04-08_19%3A38%3A52.txt/,DEST-GET-S-02,297,0.23188,UDP,53:DNS+SOME,MANY,5,1,
1428522578,TrafficAnalysis_REST-GHPGET-S-02_2015-04-08_19%3A49%3A36.txt/,REST-GHPGET-S-02,297,0.129808,UDP,53:DNS+SOME,MANY,2,1,
1428523675,TrafficAnalysis_REST-GHPHEAD-S-02_2015-04-08_20%3A07%3A54.txt/,REST-GHPHEAD-S-02,297,0.018448,UDP,53:DNS+SOME,MANY,2,1,
1428524029,TrafficAnalysis_REST-GHPPOST-S-02_2015-04-08_20%3A13%3A48.txt/,REST-GHPPOST-S-02,297,0.018576,UDP,53:DNS+SOME,MANY,3,1,
1428524373,TrafficAnalysis_REST-RUDY-S-02_2015-04-08_20%3A19%3A32.txt/,REST-RUDY-S-02,297,0.03172,UDP,53:DNS+SOME,MANY,2,1,
1428524747,TrafficAnalysis_REST-SLOW-S-02_2015-04-08_20%3A25%3A46.txt/,REST-SLOW-S-02,298,6.001936,UDP,123:NTP+SOME,80:HTTP+MANY,4,1,
1428525095,TrafficAnalysis_REST-SRCPOST-S-02_2015-04-08_20%3A31%3A34.txt/,REST-SRCPOST-S-02,298,4.503696,UDP,123:NTP+SOME,80:HTTP+MANY,4,1,
1428525434,TrafficAnalysis_REST-SRCHEAD-S-02_2015-04-08_20%3A37%3A13.txt/,REST-SRCHEAD-S-02,297,0.007568,UDP,53:DNS+,MANY,1,1,
1428525812,TrafficAnalysis_REST-XML-S-02_2015-04-08_20%3A43%3A31.txt/,REST-XML-S-02,298,0.018448,UDP,53:DNS+SOME,MANY,2,1,
1428745323,TrafficAnalysis_prod-anon-001.txt/,prod-anon-001,20,10.934048,UDP,16705:unknown+MANY,16705:unknown+SOME,57,54,
1428745369,TrafficAnalysis_prod-anon-002.txt/,prod-anon-002,61,3.8672,UDP,16705:unknown+MANY,16705:unknown+SOME,64,63,
1428877721,TrafficAnalysis_QUANT-SSDP-S-01.txt/,QUANT-SSDP-S-01,268,328.82306,UDP,1900:SSDP+MANY,MANY,10024,1,
1428878086,TrafficAnalysis_QUANT-SSYN-S-01.txt/,QUANT-SSYN-S-01,240,12.597552,TCP,MANY,MANY,253747,1,ACK(127498)RST(3)SYN(5)
1428878475,TrafficAnalysis_QUANT-CHARGEN-S-01.txt/,QUANT-CHARGEN-S-01,240,235.02867,UDP,19:CharGen+MANY,MANY,518,1,
1428878847,TrafficAnalysis_QUANT-DOMINATE-S-01.txt/,QUANT-DOMINATE-S-01,219,15.351152,TCP,MANY,MANY,1292129,1,CWR(1292148)ECE(1292148)ACK(30)RST(109)SYN(1292149)
1428879206,TrafficAnalysis_QUANT-SSDP-S-02.txt/,QUANT-SSDP-S-02,291,208.37178,UDP,1900:SSDP+MANY,MANY,15329,1,
1428879592,TrafficAnalysis_QUANT-SSYN-S-02.txt/,QUANT-SSYN-S-02,253,9.6E-4,TCP,MANY,MANY,132531,1,ACK(66308)RST(6)SYN(3)
1428879939,TrafficAnalysis_QUANT-CHARGEN-S-02.txt/,QUANT-CHARGEN-S-02,213,330.25433,UDP,19:CharGen+MANY,MANY,520,1,
1428880308,TrafficAnalysis_QUANT-DOMINATE-S-02.txt/,QUANT-DOMINATE-S-02,273,8.799264,TCP,MANY,MANY,673361,1,CWR(673378)ECE(673378)ACK(26)RST(55)SYN(673381)
1429087294,TrafficAnalysis_QUANT_SSDP_10.txt/,QUANT,59,123.738396,UDP,1900:SSDP+MANY,MANY,6860,1,
1429869923,TrafficAnalysis_prod-anon-040.txt/,prod-anon-040,70,0.364648,TCP,MANY,MANY,224,2,ACK(216)PSH(104)RST(104)SYN(135)FIN(96)
1429875095,TrafficAnalysis_prod-anon-041.txt/,prod-anon-041,12,0.558064,TCP,MANY,MANY,8981,1,CWR(2)ECE(1)ACK(8884)PSH(16)RST(327)SYN(8474)FIN(6)
1429876190,TrafficAnalysis_prod-anon-042.txt/,prod-anon-042,20,4.16E-4,TCP,MANY,MANY,8852,1,ACK(8789)PSH(38)RST(1003)SYN(7458)FIN(9)
1429877433,TrafficAnalysis_prod-anon-043.txt/,prod-anon-043,30,0.529784,TCP,MANY,MANY,1449,2,CWR(2)ECE(2)ACK(1344)PSH(76)RST(1329)SYN(115)FIN(76)
1441872161,TrafficAnalysis_prod-anon-015.txt/,prod-anon-015,14,0.907712,TCP,MANY,SOME,356,1,ACK(342)PSH(302)RST(288)SYN(312)FIN(299)
1441879865,TrafficAnalysis_prod-anon-016.txt/,prod-anon-016,12,1.4074,TCP,MANY,SOME,335,1,ACK(324)PSH(298)RST(182)SYN(257)FIN(299)
1442159945,TrafficAnalysis_prod-anon-029.txt/,prod-anon-029,22,11.046056,UDP,MANY,80:HTTP+MANY,17,18,
1444237630,TrafficAnalysis_prod-anon-003.txt/,prod-anon-003,21,12.813768,TCP,SOME,MANY,10,1,ACK(10)PSH(6)
1444240545,TrafficAnalysis_prod-anon-004.txt/,prod-anon-004,18,14.67984,TCP,SOME,MANY,9,1,ACK(9)PSH(4)
1445005518,TrafficAnalysis_prod-anon-014.txt/,prod-anon-014,58,0.15968,TCP,MANY,SOME,1055,1,SYN(1055)
1445468940,TrafficAnalysis_prod-anon-005.txt/,prod-anon-005,14,2.4276,TCP,SOME,MANY,4,1,ACK(4)PSH(3)SYN(4)FIN(3)
1445679469,TrafficAnalysis_prod-anon-044.txt/,prod-anon-044,15,10.663176,TCP,MANY,SOME,1,1,ACK(1)PSH(1)RST(1)SYN(1)FIN(1)
1446768046,TrafficAnalysis_prod-anon-008.txt/,prod-anon-008,37,5.046288,UDP,161:SNMP+MANY,80:HTTP+MANY,965,945,
1446847062,TrafficAnalysis_prod-anon-009.txt/,prod-anon-009,21,9.92E-4,UDP,161:SNMP+MANY,80:HTTP+MANY,1044,1022,
1447145154,TrafficAnalysis_prod-anon-052.txt/,prod-anon-052,19,11.380648,TCP,SOME,MANY,96,1,ACK(94)PSH(72)RST(11)SYN(31)FIN(22)
1447170747,TrafficAnalysis_prod-anon-053.txt/,prod-anon-053,14,15.42,TCP,SOME,SOME,1,1,ACK(1)PSH(1)
1447170849,TrafficAnalysis_prod-anon-054.txt/,prod-anon-054,15,12.816,TCP,SOME,SOME,1,1,ACK(1)PSH(1)
